language;bible;book;chapter;verse_number;verse_text
ENGESV;ESV - English Standard Version�;MAT;1;1;The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
ENGESV;ESV - English Standard Version�;MAT;1;2;Abraham was the father of Isaac, and Isaac the father of Jacob, and Jacob the father of Judah and his brothers,
ENGESV;ESV - English Standard Version�;MAT;1;3;and Judah the father of Perez and Zerah by Tamar, and Perez the father of Hezron, and Hezron the father of Ram,
ENGESV;ESV - English Standard Version�;MAT;1;4;and Ram the father of Amminadab, and Amminadab the father of Nahshon, and Nahshon the father of Salmon,
ENGESV;ESV - English Standard Version�;MAT;1;5;and Salmon the father of Boaz by Rahab, and Boaz the father of Obed by Ruth, and Obed the father of Jesse,
ENGESV;ESV - English Standard Version�;MAT;1;6;and Jesse the father of David the king. And David was the father of Solomon by the wife of Uriah,
ENGESV;ESV - English Standard Version�;MAT;1;7;and Solomon the father of Rehoboam, and Rehoboam the father of Abijah, and Abijah the father of Asaph,
ENGESV;ESV - English Standard Version�;MAT;1;8;and Asaph the father of Jehoshaphat, and Jehoshaphat the father of Joram, and Joram the father of Uzziah,
ENGESV;ESV - English Standard Version�;MAT;1;9;and Uzziah the father of Jotham, and Jotham the father of Ahaz, and Ahaz the father of Hezekiah,
ENGESV;ESV - English Standard Version�;MAT;1;10;and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,
ENGESV;ESV - English Standard Version�;MAT;1;11;and Josiah the father of Jechoniah and his brothers, at the time of the deportation to Babylon.
ENGESV;ESV - English Standard Version�;MAT;1;12;And after the deportation to Babylon: Jechoniah was the father of Shealtiel, and Shealtiel the father of Zerubbabel,
ENGESV;ESV - English Standard Version�;MAT;1;13;and Zerubbabel the father of Abiud, and Abiud the father of Eliakim, and Eliakim the father of Azor,
ENGESV;ESV - English Standard Version�;MAT;1;14;and Azor the father of Zadok, and Zadok the father of Achim, and Achim the father of Eliud,
ENGESV;ESV - English Standard Version�;MAT;1;15;and Eliud the father of Eleazar, and Eleazar the father of Matthan, and Matthan the father of Jacob,
ENGESV;ESV - English Standard Version�;MAT;1;16;and Jacob the father of Joseph the husband of Mary, of whom Jesus was born, who is called Christ.
ENGESV;ESV - English Standard Version�;MAT;1;17;So all the generations from Abraham to David were fourteen generations, and from David to the deportation to Babylon fourteen generations, and from the deportation to Babylon to the Christ fourteen generations.
ENGESV;ESV - English Standard Version�;MAT;1;18;Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child from the Holy Spirit.
ENGESV;ESV - English Standard Version�;MAT;1;19;And her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly.
ENGESV;ESV - English Standard Version�;MAT;1;20;But as he considered these things, behold, an angel of the Lord appeared to him in a dream, saying, �Joseph, son of David, do not fear to take Mary as your wife, for that which is conceived in her is from the Holy Spirit.
ENGESV;ESV - English Standard Version�;MAT;1;21;She will bear a son, and you shall call his name Jesus, for he will save his people from their sins.�
ENGESV;ESV - English Standard Version�;MAT;1;22;All this took place to fulfill what the Lord had spoken by the prophet:
ENGESV;ESV - English Standard Version�;MAT;1;23;�Behold, the virgin shall conceive and bear a son, and they shall call his name Immanuel� (which means, God with us).
ENGESV;ESV - English Standard Version�;MAT;1;24;When Joseph woke from sleep, he did as the angel of the Lord commanded him: he took his wife,
ENGESV;ESV - English Standard Version�;MAT;1;25;but knew her not until she had given birth to a son. And he called his name Jesus.
ENGESV;ESV - English Standard Version�;MAT;2;1;Now after Jesus was born in Bethlehem of Judea in the days of Herod the king, behold, wise men from the east came to Jerusalem,
ENGESV;ESV - English Standard Version�;MAT;2;2;saying, �Where is he who has been born king of the Jews? For we saw his star when it rose and have come to worship him.�
ENGESV;ESV - English Standard Version�;MAT;2;3;"When Herod the king heard this, he was troubled, and all Jerusalem with him;"
ENGESV;ESV - English Standard Version�;MAT;2;4;and assembling all the chief priests and scribes of the people, he inquired of them where the Christ was to be born.
